id,Producto,Tienda,Estado,Incumplimiento
13596,ATUN,ABARROTES EL CRUCERITO Y/O FORTINO CAMACHO MUÑOZ,MEXICO,0
13597,ATUN,ABARROTES PEPE Y/O TERESA MORA JIMENEZ,MEXICO,0
13598,ATUN,ABARROTES PEPE Y/O TERESA MORA JIMENEZ,MEXICO,0
13599,ATUN,ABARROTES PEPE Y/O TERESA MORA JIMENEZ,MEXICO,0
13600,ATUN,ABARROTES PEPE Y/O TERESA MORA JIMENEZ,MEXICO,0
13601,ATUN,ABARROTES LA ESPERANZA Y/O ELIZABETH OROZCO  GONZALEZ,MEXICO,0
13602,ATUN,ABARROTES LA ESPERANZA Y/O ELIZABETH OROZCO  GONZALEZ,MEXICO,0
13603,PRENDAS DE VESTIR,BOUTIQUE VANITY  Y/O GRUPO VANITY  S. A. DE C. V.,MEXICO,0
13604,PRENDAS DE VESTIR,BOUTIQUE VANITY  Y/O GRUPO VANITY  S. A. DE C. V.,MEXICO,0
13605,PRENDAS DE VESTIR,BOUTIQUE VANITY  Y/O GRUPO VANITY  S. A. DE C. V.,MEXICO,0
13606,ATUN,ABARROTES HERNANDEZ Y/O MARIANO JUAN OLANDE HERNANDEZ,MEXICO,0
13607,ATUN,ABARROTES HERNANDEZ Y/O MARIANO JUAN OLANDE HERNANDEZ,MEXICO,0
13608,ATUN,VINOS Y LICORES EL GALLO Y/O NOHELIA ESTRADA LAZARO,MEXICO,0
13609,ATUN,VINOS Y LICORES EL GALLO Y/O NOHELIA ESTRADA LAZARO,MEXICO,0
13610,ATUN,MISCELANEA EL PARAISO Y/O ALONSO MANUEL DIAZ PROAL,MEXICO,0
13611,ATUN,MISCELANEA EL PARAISO Y/O ALONSO MANUEL DIAZ PROAL,MEXICO,0
13612,ATUN,ABARROTES  VINOS Y LICORES ARAGON Y/O JULIO HERNANDEZ HERNANDEZ,MEXICO,0
13613,ATUN,ABARROTES  VINOS Y LICORES ARAGON Y/O JULIO HERNANDEZ HERNANDEZ,MEXICO,0
13614,ATUN,ABARROTES  VINOS Y LICORES LA DE ENFRENTE Y/O HECTOR MANUEL NAVARRO PRADO,MEXICO,0
13615,ATUN,ABARROTES  VINOS Y LICORES LA DE ENFRENTE Y/O HECTOR MANUEL NAVARRO PRADO,MEXICO,0
13616,PRENDAS DE VESTIR,BOUTIQUE MELODY Y/O MILANO OPERADORA  S. A. DE C. V.,MEXICO,0
13617,PRENDAS DE VESTIR,BOUTIQUE MELODY Y/O MILANO OPERADORA  S. A. DE C. V.,MEXICO,0
13618,PRENDAS DE VESTIR,MERCADO SORIANA Y/O TIENDAS SORIANA  S. A. DE C. V.,MEXICO,0
13619,PLAYERAS,MERCADO SORIANA Y/O TIENDAS SORIANA  S. A. DE C. V.,MEXICO,0
